"","country","Topic 1 (Shopping)","Topic 2 (At Home with Family)","Topic 3 (Time with Friends)","Topic 4 (Food)","Topic 5 (Generic Happiness)","Comment Count","country.name"
"48","KAZ",0.227445394112061,0.202754036087369,0.189933523266857,0.189933523266857,0.189933523266857,3,"Kazakhstan"
"49","KEN",0.192579414990754,0.190867211557477,0.212488086585385,0.197736687404738,0.206328599461646,33,"Kenya"
"50","KNA",0.194402592082384,0.188440575718451,0.205722895398348,0.21158469636048,0.199849240440337,9,"St. Kitts & Nevis"
"51","KOR",0.213379214164443,0.190000538981863,0.215283504460075,0.202215889185329,0.17912085320829,6,"South Korea"
"52","KWT",0.193660701818909,0.217753651327198,0.18635468479067,0.199302523310946,0.202928438752277,18,"Kuwait"
"53","LKA",0.193291577927227,0.195780887157866,0.201073594360838,0.198365163880747,0.211488776673322,12,"Sri Lanka"
"54","LTU",0.203904429039508,0.19152513531778,0.201935841211986,0.199687637174812,0.202946957255914,42,"Lithuania"
"55","LVA",0.20500403551251,0.226997578692494,0.193401937046005,0.199051654560129,0.175544794188862,3,"Latvia"
"56","MAR",0.200517031731861,0.200900152356624,0.209342960667026,0.197601079759306,0.191638775485184,6,"Morocco"
"57","MDA",0.21329698251734,0.196350964396856,0.202320836022626,0.197378577116658,0.190652639946521,36,"Moldova"
"58","MEX",0.196948061825605,0.201799126248792,0.197404213831669,0.205468402321847,0.198380195772088,123,"Mexico"
"59","MKD",0.202593496843469,0.194746691520477,0.204171654331125,0.200551906418437,0.197936250886491,102,"North Macedonia"
"60","MLT",0.205567902141314,0.201822612380698,0.193517503979804,0.203570891277824,0.19552109022036,9,"Malta"
"61","MUS",0.185254803675856,0.202130325814536,0.20202589807853,0.20250626566416,0.208082706766917,3,"Mauritius"
"62","MYS",0.206643730793085,0.194147826296371,0.206916467282377,0.193095509854932,0.199196465773235,15,"Malaysia"
"63","NGA",0.199902047203717,0.200528121001939,0.191411691635954,0.206272039072356,0.201886101086035,81,"Nigeria"
"64","NIC",0.193627374447047,0.206089163821404,0.196105328591667,0.19574743006437,0.208430703075512,15,"Nicaragua"
"65","NLD",0.203205700498045,0.19570811009436,0.197148274867858,0.21146694687033,0.192470967669406,15,"Netherlands"
"66","NOR",0.198790762216275,0.18222816929329,0.193131132917038,0.238264446426801,0.187585489146595,3,"Norway"
"67","NPL",0.199660464226843,0.167043459749537,0.178772557267756,0.1820003721991,0.272523146556764,6,"Nepal"
"68","NZL",0.194988222140817,0.191940287701883,0.18628823109764,0.199459756394939,0.22732350266472,36,"New Zealand"
"69","PAK",0.208231030849086,0.213114441500763,0.193230820353679,0.18719637757656,0.198227329719913,39,"Pakistan"
"70","PER",0.192783586865606,0.192310238876038,0.214083039913812,0.205520599417127,0.195302534927417,34,"Peru"
"71","PHL",0.196008289090477,0.199105058762464,0.197496004406735,0.205685281213856,0.201705366526468,276,"Philippines"
"72","POL",0.203399586943652,0.193972532558504,0.195168065378797,0.209703612526872,0.197756202592174,15,"Poland"
"73","PRI",0.196002070351808,0.190832519980294,0.204786781053425,0.204794810750105,0.203583817864367,30,"Puerto Rico"
"74","PRT",0.1960724002003,0.201699550653908,0.206506430067005,0.199359625057704,0.196361994021083,84,"Portugal"
"75","ROU",0.198854543748148,0.198156820599682,0.204602662839036,0.20143669096499,0.196949281848144,46,"Romania"
"76","RUS",0.197325807097335,0.189086164005942,0.198568290526511,0.205822537015931,0.209197201354282,30,"Russia"
"77","SAU",0.185151284007119,0.189397406559878,0.1837020086448,0.1872234935164,0.254525807271803,3,"Saudi Arabia"
"78","SGP",0.192064986947696,0.197496301553648,0.203168583400003,0.20849142236791,0.198778705730744,24,"Singapore"
"79","SLV",0.202595187564807,0.197767247143646,0.19170664108304,0.215995581009972,0.191935343198535,3,"El Salvador"
"80","SRB",0.200019117972816,0.193985457119086,0.201878794545769,0.202155069506714,0.201961560855616,96,"Serbia"
"81","SUR",0.202754036087369,0.196106362773029,0.208452041785375,0.202754036087369,0.189933523266857,3,"Suriname"
"82","SVN",0.211520345759169,0.192812930220966,0.195501102263977,0.196080012548603,0.204085609207284,6,"Slovenia"
"83","SWE",0.193812175690243,0.199099187543995,0.203778063565395,0.201318177822621,0.201992395377746,27,"Sweden"
"84","TCA",0.220590420452337,0.191130326555623,0.208771620280872,0.184525058185649,0.194982574525518,6,"Turks & Caicos Islands"
"85","THA",0.206256364067165,0.193941841274796,0.210212340919415,0.198714770615631,0.190874683122993,84,"Thailand"
"86","TTO",0.19379344850488,0.202568446269889,0.198656926513012,0.201306950027816,0.203674228684403,30,"Trinidad & Tobago"
"87","TUN",0.179069238209023,0.184445582295045,0.259031689139216,0.173778232918018,0.203675257438698,3,"Tunisia"
"88","TUR",0.204927820428233,0.194577331215962,0.197553324476496,0.198967907610265,0.203973616269044,51,"Turkey"
"89","TWN",0.213794764852628,0.192986245225397,0.196089217872229,0.216600107706914,0.180529664342832,9,"Taiwan"
"90","UGA",0.210200651953136,0.196487562167504,0.202739229438305,0.207028034900266,0.18354452154079,15,"Uganda"
"91","UKR",0.174600787651351,0.192899017829889,0.167025030075593,0.209354556826411,0.256120607616756,3,"Ukraine"
"92","UMI",0.19896246148615,0.194291337306731,0.198163462958725,0.203749980598396,0.204832757649999,15,"United States Minor Outlying Islands (the)"
"93","URY",0.20559672469232,0.189316138515213,0.199852723074709,0.213340644109025,0.191893769608733,42,"Uruguay"
"94","USA",0.200230530161182,0.199265822862982,0.200876830099884,0.202447582451173,0.19717923442478,73475,"United States"
"95","VEN",0.196236636287001,0.198817620158346,0.204201027094258,0.200891405056232,0.199853311404164,546,"Venezuela"
"96","VIR",0.193861693861694,0.251320901320901,0.157342657342657,0.183100233100233,0.214374514374514,3,"U.S. Virgin Islands"
"97","VNM",0.198645488414788,0.196425642492689,0.207355678541292,0.202030594611369,0.195542595939862,125,"Vietnam"
"98","ZAF",0.190740534263933,0.205758538434092,0.197394837395481,0.206296024681705,0.199810065224789,21,"South Africa"
"99","ZMB",0.19147385884674,0.195744776253251,0.195744776253251,0.21299659223388,0.204039996412878,3,"Zambia"
"100",NA,0.199220042098751,0.203491964607238,0.199510359664587,0.198759479508678,0.199018154120746,147,NA
