"","country","Topic 1 (Shopping)","Topic 2 (At Home with Family)","Topic 3 (Time with Friends)","Topic 4 (Food)","Topic 5 (Generic Happiness)","Comment Count","country.name"
"1","AFG",0.20369026501102,0.20369026501102,0.192436703757458,0.200129011449766,0.200053754770736,5,"Afghanistan"
"2","ALB",0.19867855319925,0.198078981093821,0.214784296514754,0.194360944435231,0.194097224756945,48,"Albania"
"3","ARE",0.195741066490231,0.200355537934443,0.199954518486792,0.205282252599869,0.198666624488665,33,"United Arab Emirates"
"4","ARG",0.216554838158848,0.186427960146988,0.21486763815599,0.18872516400481,0.193424399533364,6,"Argentina"
"5","ARM",0.196872789862061,0.206023116659447,0.194356170678775,0.198153945231267,0.20459397756845,15,"Armenia"
"6","ASM",0.199188473225868,0.201927899042216,0.202037536883435,0.194776503429282,0.202069587419199,13,"American Samoa"
"7","AUS",0.203651490245201,0.192452825071057,0.202184112762624,0.199062151733942,0.202649420187177,117,"Australia"
"8","AUT",0.18675663139845,0.205323620886696,0.198516404699334,0.186888582377726,0.222514760637794,17,"Austria"
"9","BEL",0.204547874673661,0.206343458544716,0.204252518193818,0.198717382470003,0.186138766117802,9,"Belgium"
"10","BGD",0.187249132115757,0.173952063856205,0.1738497324902,0.181034035815544,0.283915035722294,69,"Bangladesh"
"11","BGR",0.208540592649186,0.191342780196116,0.197346912009881,0.214494163654515,0.188275551490302,67,"Bulgaria"
"12","BHS",0.202516619183286,0.215337132003799,0.189933523266857,0.196106362773029,0.196106362773029,3,"Bahamas"
"13","BRA",0.20014144620985,0.196229691251354,0.200440945613547,0.206975208905435,0.196212708019814,123,"Brazil"
"14","BRB",0.198236133770725,0.198283649148429,0.2013077127857,0.201085250063237,0.201087254231908,6,"Barbados"
"15","CAN",0.200701469238804,0.197700914286086,0.204286723842318,0.201606737106411,0.19570415552638,531,"Canada"
"16","CHL",0.200447713463383,0.196983264044345,0.194067312071789,0.208488143345834,0.200013567074648,6,"Chile"
"17","COL",0.202484168353061,0.204051103278162,0.202084960885043,0.197230681886516,0.194149085597217,32,"Colombia"
"18","CRI",0.243622782446312,0.202452536570184,0.168465608465608,0.164407096171802,0.221051976346094,3,"Costa Rica"
"19","CYP",0.20810647307925,0.219600725952813,0.196410566646501,0.190965920548498,0.184916313772938,3,"Cyprus"
"20","CZE",0.206180539733171,0.205911770166156,0.190970903690202,0.202877564281073,0.194059222129398,6,"Czechia"
"21","DEU",0.196492766042264,0.206889636989493,0.204247495959997,0.194854010115388,0.197516090892858,84,"Germany"
"22","DNK",0.205707150804839,0.196294515465942,0.201071736511181,0.202087074899907,0.194839522318132,51,"Denmark"
"23","DOM",0.205787897419466,0.192109380492427,0.201516411286451,0.208148874015045,0.192437436786611,51,"Dominican Republic"
"24","DZA",0.185021956775094,0.198421941951808,0.200643874100626,0.204222944151116,0.211689283021356,12,"Algeria"
"25","ECU",0.188423645320197,0.19991789819376,0.188423645320197,0.211822660098522,0.211412151067323,3,"Ecuador"
"26","EGY",0.192983322478102,0.197725510486356,0.210175851156636,0.196003939343407,0.203111376535498,57,"Egypt"
"27","ESP",0.197695258693273,0.192573511118695,0.198999930703009,0.205335213354081,0.205396086130942,14,"Spain"
"28","EST",0.194546453232894,0.188635174722745,0.200706282627187,0.209440415725726,0.206671673691448,6,"Estonia"
"29","ETH",0.197573216441141,0.203862524617242,0.203409355610613,0.197348749550007,0.197806153780997,3,"Ethiopia"
"30","FIN",0.195741697856655,0.209068584492995,0.196063426580758,0.197005288400049,0.202121002669544,21,"Finland"
"31","FRA",0.201186123087398,0.198129401012688,0.202894106070456,0.196133681954844,0.201656687874614,51,"France"
"32","GBR",0.204253812838926,0.195151203465297,0.207171020831413,0.197482185270833,0.195941777593532,355,"United Kingdom"
"33","GHA",0.206060606060606,0.187878787878788,0.181818181818182,0.218181818181818,0.206060606060606,3,"Ghana"
"34","GMB",0.241670217165579,0.189042071379284,0.216217853034562,0.168933299202432,0.184136559218143,6,"Gambia"
"35","GRC",0.200327885520758,0.195544744067831,0.200614191441048,0.202050196129831,0.201462982840532,42,"Greece"
"36","GTM",0.202419842710224,0.201725360073817,0.207673732688857,0.204436480147309,0.183744584379793,6,"Guatemala"
"37","HKG",0.170105013550135,0.174170054200542,0.156419376693767,0.215040650406504,0.284264905149052,3,"Hong Kong SAR China"
"38","HRV",0.198212825993502,0.205078439207614,0.192570317050369,0.19922751264461,0.204910905103904,6,"Croatia"
"39","IDN",0.199454922880106,0.20057821371508,0.205017873395509,0.200991309891473,0.193957680117832,33,"Indonesia"
"40","IND",0.197882023283144,0.205276856754645,0.197444462670149,0.189726545909095,0.209670111382966,16629,"India"
"41","IRL",0.207673625835599,0.205855819173303,0.199114481625866,0.19539567227218,0.191960401093051,30,"Ireland"
"42","IRQ",0.216622306342541,0.192778139232271,0.21024822065811,0.199380927032196,0.180970406734883,3,"Iraq"
"43","ISL",0.188516004859172,0.219081537094899,0.18312940558886,0.199370102033524,0.209902950423545,9,"Iceland"
"44","ISR",0.211564831619278,0.205706795724945,0.228312159709619,0.17706190764267,0.177354305303489,3,"Israel"
"45","ITA",0.204915826070539,0.192084273916519,0.198578115115679,0.196653861309623,0.20776792358764,36,"Italy"
"46","JAM",0.19951694486048,0.199960742825733,0.192146764822963,0.206500293333914,0.201875254156909,60,"Jamaica"
"47","JPN",0.191224353766247,0.197224451598528,0.211775487766827,0.201812242670459,0.197963464197939,15,"Japan"
